Respondent,S3_Recode,CATV_INSTALLATION_DATE,Churn_risk,CITY_NAME,CommercialProductName,COMMUNITY_NAME,ConvergedStatus,DTV_INSTALLATION_DATE,DTV_TIER_OPTION_NAME,Film1,FixedVoicePlan,FoxSportEDL,FoxSportINT,HasCATV,HasDTV,HasINT,HasTEL,INTERNET_INSTALLATION_DATE,INTERNET_TIER_OPTION_NAME,InternetSecurityType,IntSecurity_Benefit,Kids_Benefit,MediaBoxType,MoviesSeriesL,MoviesSeriesStd,MoviesSeriesXL,MSL_Benefit,PlayLevel,SALUTATION,TELEPHONY_INSTALLATION_DATE,TELEPHONY_TIER_OPTION_NAME,Tenure,TVContentPack,"Sport,"
21,HIGH RISK,41326.0,low,OEGSTGEEST,Internet Complete & TV Complete,OEGSTGEEST,Converged,41326.0,Standard Channel Pack Horizon,0,Vast Bellen,0,0,1,1,1,1,41326.0,250 / 25 MBPS,SAFE ONLINE XL,1,0,MEDIABOX XL,1,1,0,1,TV + INT + TEL,Dhr.,41326.0,Vast Bellen,8.032.876.712,Standard Channel Pack,"0,"
22,HIGH RISK,42668.0,low,AMERSFOORT,Internet Start & TV Max (2P),AMERSFOORT,Converged,42668.0,Extra Channel Pack Horizon,0,Vast Bellen,0,0,1,1,1,0,42668.0,50 / 5 MBPS,SAFE ONLINE XL,1,0,MEDIABOX XL,0,0,1,0,TV + INT,Dhr.,42668.0,Vast Bellen,4.356.164.384,Extra Channel Pack,"1,"
23,MEDIUM RISK,41251.0,low,HEETEN,Internet Complete & TV Complete Next,RAALTE,Converged,41251.0,Standard Channel Pack No Horizon,0,Vast Bellen,0,0,1,1,1,1,41251.0,250 / 25 MBPS,SAFE ONLINE XL,1,1,MEDIABOX NEXT,0,1,0,0,TV + INT + TEL,Dhr.,41251.0,Vast Bellen,8.238.356.164,Standard Channel Pack,"0,"
24,HIGH RISK,41579.0,low,WARNSVELD,Internet Complete & TV Max,ZUTPHEN,Not Converged,41579.0,Extra Channel Pack Horizon,1,Volop Bellen Internationaal,0,0,1,1,1,1,41579.0,250 / 25 MBPS,SAFE ONLINE,0,0,MEDIABOX XL,0,0,1,0,TV + INT + TEL,Mevr.,41579.0,Volop Bellen Internationaal,7.339.726.027,Extra Channel Pack,"1,"
25,MEDIUM RISK,40099.0,low,SNEEK,Internet Start & TV Start,SUDWEST-FRYSLAN,Not Converged,40099.0,Standard Channel Pack No Horizon,0,Volop Bellen,0,0,1,1,1,1,40099.0,50 / 5 MBPS,SAFE ONLINE,0,0,MEDIABOX,0,0,0,0,TV + INT + TEL,Dhr.,40099.0,Volop Bellen,1.139.452.055,Standard Channel Pack,"0,"
26,HIGH RISK,42061.0,high,HAARLEM,Internet Complete & TV Complete,HAARLEM,Converged,42071.0,Standard Channel Pack Horizon,0,Vast Bellen,0,0,1,1,1,1,42071.0,250 / 25 MBPS,SAFE ONLINE XL,1,0,MEDIABOX XL,1,1,0,1,TV + INT + TEL,Dhr.,42071.0,Vast Bellen,6.019.178.082,Standard Channel Pack,"0,"
27,MEDIUM RISK,42663.0,mid,DRUNEN,25Mb/s & bellen & B2O (Tientje Vriendje) (fZiggo),HEUSDEN,Not Converged,42663.0,Standard Channel Pack No Horizon,0,Vast Bellen,0,0,1,1,1,1,42663.0,25 / 2.5 MBPS,SAFE ONLINE,0,0,0,0,0,0,0,TV + INT + TEL,Aan,42663.0,Vast Bellen,4.369.863.014,Standard Channel Pack,"0,"
28,HIGH RISK,42622.0,low,CULEMBORG,Internet Complete & TV Complete,CULEMBORG,Converged,42622.0,Standard Channel Pack Horizon,0,Vast Bellen,0,0,1,1,1,1,42622.0,250 / 25 MBPS,SAFE ONLINE XL,1,0,MEDIABOX XL,0,1,0,0,TV + INT + TEL,Dhr.,42622.0,Vast Bellen,4.482.191.781,Standard Channel Pack,"1,"
34,HIGH RISK,42625.0,low,TILBURG,Internet Complete & TV Complete,TILBURG,Not Converged,42625.0,Standard Channel Pack Horizon,1,Vast Bellen,0,0,1,1,1,1,42625.0,250 / 25 MBPS,SAFE ONLINE,0,0,MEDIABOX XL,0,1,0,0,TV + INT + TEL,Dhr.,42625.0,Vast Bellen,4.473.972.603,Standard Channel Pack,"0,"
35,MEDIUM RISK,40800.0,low,LEIDERDORP,Internet Start & TV Max Next,LEIDERDORP,Not Converged,40800.0,Extra Channel Pack No Horizon,0,Vast Bellen,0,0,1,1,1,1,40800.0,50 / 5 MBPS,SAFE ONLINE,0,0,MEDIABOX NEXT,0,0,1,0,TV + INT + TEL,Dhr.,40800.0,Vast Bellen,9.473.972.603,Extra Channel Pack,"0,"
37,HIGH RISK,43850.0,high,BERLICUM NB,Internet Complete & TV Max Next,SINT-MICHIELSGESTEL,Converged,43850.0,Extra Channel Pack No Horizon,0,Vast Bellen,1,0,1,1,1,1,43850.0,250 / 25 MBPS,SAFE ONLINE XL,1,0,MEDIABOX NEXT,0,0,1,0,TV + INT + TEL,Dhr.,43850.0,Vast Bellen,1.117.808.219,Extra Channel Pack,"1,"
41,MEDIUM RISK,41458.0,low,ROTTERDAM,Internet Complete & TV Max Next,ROTTERDAM,Converged,41458.0,Extra Channel Pack No Horizon,1,Vast Bellen,1,0,1,1,1,1,41458.0,250 / 25 MBPS,SAFE ONLINE XL,1,0,MEDIABOX NEXT,0,0,1,0,TV + INT + TEL,Dhr.,41458.0,Vast Bellen,7.671.232.877,Extra Channel Pack,"0,"
44,HIGH RISK,40938.0,mid,OSS,Internet Start & TV Start,OSS,Not Converged,40938.0,Standard Channel Pack No Horizon,0,Vast Bellen,0,0,1,1,1,1,40938.0,50 / 5 MBPS,SAFE ONLINE,0,0,MEDIABOX,0,0,0,0,TV + INT + TEL,Dhr.,40938.0,Vast Bellen,9.095.890.411,Standard Channel Pack,"1,"
48,MEDIUM RISK,41452.0,low,ENSCHEDE,Internet Complete & TV Complete Next,ENSCHEDE,Converged,41452.0,Extra Channel Pack No Horizon,0,Vast Bellen,1,1,1,1,1,1,41452.0,250 / 25 MBPS,SAFE ONLINE XL,1,0,MEDIABOX NEXT,0,1,1,0,TV + INT + TEL,Dhr.,41452.0,Vast Bellen,7.687.671.233,Extra Channel Pack,"1,"
50,HIGH RISK,41373.0,mid,WADDINXVEEN,TV+INT Z2 (digitaal) (fZiggo),WADDINXVEEN,Not Converged,41373.0,Standard Channel Pack No Horizon,0,0,0,0,1,1,1,0,41373.0,250 / 25 MBPS,SAFE ONLINE,0,0,0,1,0,0,0,TV + INT,Dhr.,41373.0,0,7.904.109.589,Standard Channel Pack,"0,"
57,HIGH RISK,42668.0,mid,ZOETERMEER,25Mb/s & Vast Bellen & TV Start,ZOETERMEER,Not Converged,42668.0,Standard Channel Pack No Horizon,0,Vast Bellen,0,0,1,1,1,1,42866.0,25 / 2.5 MBPS,SAFE ONLINE,0,0,MEDIABOX,0,0,0,0,TV + INT + TEL,Dhr.,42866.0,Vast Bellen,4.356.164.384,Standard Channel Pack,"0,"
61,HIGH RISK,41633.0,low,ASSENDELFT,Internet Start & TV Start,ZAANSTAD,Converged,41633.0,Extra Channel Pack No Horizon,0,Vast Bellen,0,0,1,1,1,1,41633.0,50 / 5 MBPS,SAFE ONLINE XL,1,0,0,0,0,1,0,TV + INT + TEL,Dhr.,41633.0,Vast Bellen,7.191.780.822,Extra Channel Pack,"1,"
63,MEDIUM RISK,40552.0,low,HEERHUGOWAARD,Internet Complete & TV Complete Next,HEERHUGOWAARD,Not Converged,40552.0,Standard Channel Pack No Horizon,0,Vast Bellen,0,0,1,1,1,1,40552.0,250 / 25 MBPS,SAFE ONLINE,0,0,MEDIABOX NEXT,0,1,0,0,TV + INT + TEL,Dhr.,40552.0,Vast Bellen,1.015.342.466,Standard Channel Pack,"0,"
65,LOYAL & LIGHT RISK,40299.0,mid,HEERENVEEN,Internet Complete & TV Complete Next,HEERENVEEN,Converged,40299.0,Standard Channel Pack No Horizon,0,Vast Bellen,0,0,1,1,1,1,41845.0,250 / 25 MBPS,SAFE ONLINE XL,1,0,MEDIABOX NEXT,1,1,0,1,TV + INT + TEL,Dhr.,41845.0,Vast Bellen,1.084.657.534,Standard Channel Pack,"0,"
67,HIGH RISK,41366.0,low,NIJVERDAL,Alles-in-1 Basis (digitaal) (fZiggo),HELLENDOORN,Not Converged,41366.0,Standard Channel Pack No Horizon,0,Volop Bellen,0,0,1,1,1,1,41366.0,50 / 5 MBPS,SAFE ONLINE,0,0,0,0,0,0,0,TV + INT + TEL,Dhr.,41366.0,Volop Bellen,7.923.287.671,Standard Channel Pack,"0,"
71,LOYAL & LIGHT RISK,40211.0,low,NOORDWIJKERHOUT,Internet Complete & TV Start,NOORDWIJK,Not Converged,40211.0,Extra Channel Pack No Horizon,0,Volop Bellen,1,0,1,1,1,1,40211.0,250 / 25 MBPS,SAFE ONLINE,0,0,MEDIABOX,0,0,1,0,TV + INT + TEL,Mevr.,40211.0,Volop Bellen,1.108.767.123,Extra Channel Pack,"1,"
74,MEDIUM RISK,42899.0,mid,ROERMOND,Internet Complete & TV Complete Next,ROERMOND,Converged,42901.0,Extra Channel Pack No Horizon,0,Vast Bellen,0,0,1,1,1,1,42901.0,250 / 25 MBPS,SAFE ONLINE XL,1,0,MEDIABOX NEXT,0,1,1,0,TV + INT + TEL,Mevr.,42901.0,Vast Bellen,3.723.287.671,Extra Channel Pack,"0,"
75,MEDIUM RISK,41772.0,high,ARNHEM,Internet Complete & TV Complete,ARNHEM,Not Converged,41772.0,Standard Channel Pack Horizon,0,Vast Bellen,0,0,1,1,1,1,41772.0,250 / 25 MBPS,SAFE ONLINE,0,0,MEDIABOX XL,1,1,0,1,TV + INT + TEL,Dhr.,41772.0,Vast Bellen,6.810.958.904,Standard Channel Pack,"0,"
82,MEDIUM RISK,41791.0,low,AMSTERDAM,Internet Complete & TV Complete (Selene),AMSTERDAM,Converged,41791.0,Standard Channel Pack Horizon,1,Volop Bellen,0,0,1,1,1,1,41791.0,250 / 25 MBPS,SAFE ONLINE XL,1,0,MEDIABOX XL (SELENE),1,1,0,1,TV + INT + TEL,Dhr.,41791.0,Volop Bellen,675.890.411,Standard Channel Pack,"0,"
87,HIGH RISK,41786.0,low,NIEUW-BEIJERLAND,Internet Complete & TV Max Next,HOEKSCHE WAARD,Converged,41786.0,Extra Channel Pack No Horizon,0,Vast Bellen,0,0,1,1,1,1,41786.0,250 / 25 MBPS,SAFE ONLINE XL,1,0,MEDIABOX NEXT,0,0,1,0,TV + INT + TEL,Mevr.,41786.0,Vast Bellen,677.260.274,Extra Channel Pack,"1,"
94,HIGH RISK,41616.0,low,DELFT,Internet Start & TV Start,DELFT,Converged,41616.0,Standard Channel Pack No Horizon,0,Volop Bellen,0,0,1,1,1,1,41616.0,50 / 5 MBPS,SAFE ONLINE XL,1,0,MEDIABOX,0,0,0,0,TV + INT + TEL,Dhr.,41616.0,Volop Bellen,7.238.356.164,Standard Channel Pack,"1,"
96,MEDIUM RISK,41821.0,low,LUYKSGESTEL,Internet Complete & TV Complete Next,BERGEIJK,Converged,41821.0,Standard Channel Pack No Horizon,0,Vast Bellen,0,0,1,1,1,1,41821.0,250 / 25 MBPS,SAFE ONLINE XL,1,0,MEDIABOX NEXT,1,1,0,1,TV + INT + TEL,Dhr.,41821.0,Vast Bellen,6.676.712.329,Standard Channel Pack,"0,"
109,HIGH RISK,41732.0,mid,GELEEN,MultiCore,SITTARD-GELEEN,Converged,40297.0,Standard Channel Pack No Horizon,0,Vast Bellen,0,0,1,1,1,1,40297.0,250 / 25 MBPS,SAFE ONLINE XL,1,0,MEDIABOX,0,0,0,0,TV + INT + TEL,Dhr.,40297.0,Vast Bellen,1.085.205.479,Standard Channel Pack,"1,"
110,HIGH RISK,39603.0,low,VRIES,Internet Complete & TV Complete Next,TYNAARLO,Converged,39603.0,Standard Channel Pack No Horizon,0,Vast Bellen,0,0,1,1,1,1,43690.0,250 / 25 MBPS,SAFE ONLINE XL,1,0,MEDIABOX NEXT,0,1,0,0,TV + INT + TEL,Dhr.,43690.0,Vast Bellen,1.275.342.466,Standard Channel Pack,"0,"
112,HIGH RISK,39955.0,high,BERGEN OP ZOOM,Internet Complete & TV Complete,BERGEN OP ZOOM,Not Converged,39955.0,Standard Channel Pack Horizon,0,Vast Bellen,0,0,1,1,1,1,39955.0,250 / 25 MBPS,SAFE ONLINE,0,0,MEDIABOX XL,1,1,0,1,TV + INT + TEL,Dhr.,39955.0,Vast Bellen,117.890.411,Standard Channel Pack,"0,"
113,MEDIUM RISK,41306.0,high,TILBURG,Internet Start & TV Start,TILBURG,Not Converged,41306.0,Standard Channel Pack No Horizon,0,Vast Bellen,0,0,1,1,1,1,41306.0,50 / 5 MBPS,SAFE ONLINE,0,0,MEDIABOX,0,0,0,0,TV + INT + TEL,Dhr.,41306.0,Vast Bellen,8.087.671.233,Standard Channel Pack,"0,"
114,HIGH RISK,41602.0,mid,ROTTERDAM,Internet Complete & TV Complete Next,ROTTERDAM,Converged,41602.0,Standard Channel Pack No Horizon,1,Vast Bellen,1,0,1,1,1,1,41602.0,250 / 25 MBPS,SAFE ONLINE XL,1,0,MEDIABOX NEXT,1,1,0,1,TV + INT + TEL,Dhr.,41602.0,Vast Bellen,7.276.712.329,Standard Channel Pack,"1,"
117,MEDIUM RISK,41564.0,low,SCHINNEN,Internet Complete & TV Max,BEEKDAELEN,Not Converged,41564.0,Extra Channel Pack Horizon,0,Vast Bellen,0,0,1,1,1,1,41564.0,250 / 25 MBPS,SAFE ONLINE,0,0,MEDIABOX XL,0,0,1,0,TV + INT + TEL,Mevr.,41564.0,Vast Bellen,7.380.821.918,Extra Channel Pack,"0,"
120,HIGH RISK,42005.0,mid,HILVERSUM,Internet Start & TV Start,HILVERSUM,Not Converged,42005.0,Standard Channel Pack No Horizon,0,Vast Bellen,0,0,1,1,1,1,42005.0,50 / 5 MBPS,SAFE ONLINE,0,0,MEDIABOX,1,0,0,1,TV + INT + TEL,Dhr.,42005.0,Vast Bellen,617.260.274,Standard Channel Pack,"0,"
122,HIGH RISK,42553.0,low,LOBITH,Internet Complete & TV Complete,ZEVENAAR,Converged,42553.0,Standard Channel Pack Horizon,0,Vast Bellen,0,0,1,1,1,1,42553.0,250 / 25 MBPS,SAFE ONLINE XL,1,0,MEDIABOX XL,0,1,0,0,TV + INT + TEL,Dhr.,42553.0,Vast Bellen,4.671.232.877,Standard Channel Pack,"0,"
128,HIGH RISK,41699.0,mid,EDE GLD,Internet Complete & TV Start,EDE,Not Converged,41699.0,Extra Channel Pack No Horizon,0,Volop Bellen Internationaal,0,0,1,1,1,1,41699.0,250 / 25 MBPS,SAFE ONLINE,0,0,MEDIABOX,0,0,1,0,TV + INT + TEL,Mevr.,41699.0,Volop Bellen Internationaal,7.010.958.904,Extra Channel Pack,"0,"
129,MEDIUM RISK,40323.0,low,MEEDEN,Internet Complete & TV Complete,MENTERWOLDE,Not Converged,40323.0,Standard Channel Pack Horizon,0,Vast Bellen,0,0,1,1,1,1,40323.0,250 / 25 MBPS,SAFE ONLINE,0,0,MEDIABOX XL,0,1,0,0,TV + INT + TEL,Dhr.,40323.0,Vast Bellen,1.078.082.192,Standard Channel Pack,"0,"
132,MEDIUM RISK,41376.0,mid,ROOSENDAAL,TV+INT Z3 (digitaal) (fZiggo),ROOSENDAAL,Converged,41376.0,Extra Channel Pack No Horizon,0,0,1,0,1,1,1,0,41376.0,250 / 25 MBPS,SAFE ONLINE XL,1,0,0,0,0,1,0,TV + INT,Dhr.,41376.0,0,7.895.890.411,Extra Channel Pack,"1,"
135,HIGH RISK,41598.0,high,ROTTERDAM,Internet Complete & TV Start,ROTTERDAM,Not Converged,41598.0,Standard Channel Pack No Horizon,0,Vast Bellen,0,0,1,1,1,1,41598.0,250 / 25 MBPS,SAFE ONLINE,0,0,MEDIABOX,0,0,0,0,TV + INT + TEL,Dhr.,41598.0,Vast Bellen,7.287.671.233,Standard Channel Pack,"0,"
136,HIGH RISK,39498.0,high,BUNNIK,Internet Complete & TV Complete,BUNNIK,Converged,43225.0,Standard Channel Pack Horizon,0,Vast Bellen,0,0,1,1,1,1,39498.0,250 / 25 MBPS,SAFE ONLINE XL,1,0,MEDIABOX XL,0,1,0,0,TV + INT + TEL,Dhr.,39498.0,Vast Bellen,1.304.109.589,Standard Channel Pack,"0,"
137,HIGH RISK,41362.0,low,GELDROP,Internet Complete & TV Complete Next,GELDROP-MIERLO,Converged,41362.0,Standard Channel Pack No Horizon,0,Vast Bellen,0,0,1,1,1,1,41362.0,250 / 25 MBPS,SAFE ONLINE XL,1,0,MEDIABOX NEXT,1,1,0,1,TV + INT + TEL,Dhr.,41362.0,Vast Bellen,7.934.246.575,Standard Channel Pack,"0,"
139,MEDIUM RISK,41213.0,high,HOORNAAR,Internet Complete & TV Complete,MOLENLANDEN,Not Converged,41213.0,Standard Channel Pack Horizon,0,Vast Bellen,0,0,1,1,1,1,41213.0,250 / 25 MBPS,SAFE ONLINE,0,0,MEDIABOX XL,0,1,0,0,TV + INT + TEL,Dhr.,41213.0,Vast Bellen,8.342.465.753,Standard Channel Pack,"0,"
153,HIGH RISK,42044.0,mid,AMSTERDAM,Internet Complete & TV Max Next,AMSTERDAM,Not Converged,42044.0,Extra Channel Pack No Horizon,0,Volop Bellen,0,0,1,1,1,1,42044.0,250 / 25 MBPS,SAFE ONLINE,0,0,MEDIABOX NEXT,0,0,1,0,TV + INT + TEL,Mevr.,42044.0,Volop Bellen,6.065.753.425,Extra Channel Pack,"0,"
155,MEDIUM RISK,41893.0,low,WAGENINGEN,Internet Start & TV Start,WAGENINGEN,Converged,41895.0,Standard Channel Pack No Horizon,0,Vast Bellen,0,0,1,1,1,1,41895.0,50 / 5 MBPS,SAFE ONLINE XL,1,0,0,1,0,0,1,TV + INT + TEL,Mevr.,41895.0,Vast Bellen,6.479.452.055,Standard Channel Pack,"0,"
157,LOYAL & LIGHT RISK,42353.0,low,VLAARDINGEN,Internet Max & TV Max Next (zonder bellen),VLAARDINGEN,Converged,42353.0,Extra Channel Pack No Horizon,0,0,0,0,1,1,1,0,42353.0,500 / 50 MBPS,SAFE ONLINE XL,1,0,MEDIABOX NEXT,0,0,1,0,TV + INT,Dhr.,42353.0,0,5.219.178.082,Extra Channel Pack,"1,"
159,HIGH RISK,41207.0,low,WINSCHOTEN,Internet Complete & TV Max Next,OLDAMBT,Converged,41207.0,Extra Channel Pack No Horizon,0,Vast Bellen,0,0,1,1,1,1,41207.0,250 / 25 MBPS,SAFE ONLINE XL,1,1,MEDIABOX NEXT,0,0,1,0,TV + INT + TEL,Dhr.,41207.0,Vast Bellen,835.890.411,Extra Channel Pack,"0,"
160,HIGH RISK,42689.0,mid,HEELSUM,Internet Start & TV Start,RENKUM,Converged,42689.0,Standard Channel Pack No Horizon,0,Vast Bellen,1,0,1,1,1,1,42867.0,50 / 5 MBPS,SAFE ONLINE XL,1,0,MEDIABOX,0,0,0,0,TV + INT + TEL,Dhr.,42867.0,Vast Bellen,4.298.630.137,Standard Channel Pack,"1,"
161,HIGH RISK,42689.0,mid,BARNEVELD,Internet Complete & TV Complete,BARNEVELD,Converged,42689.0,Extra Channel Pack Horizon,0,Vast Bellen,0,0,1,1,1,1,42689.0,250 / 25 MBPS,SAFE ONLINE XL,1,1,MEDIABOX XL,0,1,1,0,TV + INT + TEL,Dhr.,42689.0,Vast Bellen,4.298.630.137,Extra Channel Pack,"0,"
